sku,asin,type,product_sku,product_asin
3DF-ABS-PARENT,B07PGCV9FQ,4,3DF-ABS-1KG-BK,B07M91DSQS
3DF-ABS-PARENT,B07PGCV9FQ,,3DF-ABS-1KG-WH,B07M91DKST
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-BK,B07P9QCTLJ
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-BU,B07P8LV3Y2
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-GN,B07PCQC6XG
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-GY,B07PCMMSQC
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-OR,B07PCNXMNZ
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-PP,B07PCR15QS
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-RD,B07PBVTNJ7
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-WH,B07PCPG597
3DF-PLA-PARENT,B07P8LTVG9,,3DF-PLA-1KG-YL,B07P7GKH9R
AES-T001B-PARENT,B07T45LXFM,,AES-T001B-BLS,B07799K9JT
AES-T001B-PARENT,B07T45LXFM,,AES-T001B,B0777MXR1S
AES-T001B-PARENT,B07T45LXFM,,AES-T001B-BLS-4,B07797V1X1
AES-T002-PARENT,B07T8YM2FB,,AES-T002,B0777LQHHZ
AES-T003-PARENT,B07T8XC9GD,,AES-T003,B07798Z83G
AFB-CORNER-PARENT,B07TZP5QKH,,AFB-A02-20,B07JHFPWML
AFB-CORNER-PARENT,B07TZP5QKH,,AFB-CEILING-20,B07JHPNHKC
AFB-CORNER-PARENT,B07TZP5QKH,,AFB-CEILING-40,B07JHY2VW4
AFB-CORNER-PARENT,B07TZP5QKH,,AFB-CORNER-20,B07JWF6B4K
AFB-CORNER-PARENT,B07TZP5QKH,,AFB-CORNER-40,B07JJ8MNNF
AFB-EGG-PARENT,B07V2XG958,,AFB-EGG-20,B07JHPTYR2
AFB-EGG-PARENT,B07V2XG958,,AFB-EGG-40,B07JJ7C6Y4
AFB-EGG-PARENT,B07V2XG958,,AFB-EGG-60,B07JHFQ47B
AF-CEILING-PARENT,B07TX7715J,,AF-CEILING-20-GLUE,B07JHFQ1DW
AF-CEILING-PARENT,B07TX7715J,,AF-CEILING-40-GLUE,B07JJ6N7L7
AF-K-01D-6-PARENT,B07QKB6BVG,,AF-K-01D-6-BK,B0776TK67W
AF-K-01D-6-PARENT,B07QKB6BVG,,AF-K-01D-6-WH,B077DHDG35
AF-K-02D-8-PARENT,B07QG1Q2YW,,AF-K-02D-8-BK,B07BK444Z9
AF-K-02D-8-PARENT,B07QG1Q2YW,,AF-K-02D-8-WH,B07BK42Y34
AF-K-E-BK-PARENT,B07RMDLW4Y,,AF-K-E606-BK,B07K5CWYVC
AF-K-E-BK-PARENT,B07RMDLW4Y,,AF-K-E620-BK,B07JYWRNHL
AF-K-E-BK-PARENT,B07RMDLW4Y,,AF-K-E716-BK,
AF-K-E-BK-PARENT,B07RMDLW4Y,,AF-K-E816A-BK,B07RH7SWBF
AF-K-E-BK-PARENT,B07RMDLW4Y,,AF-K-E902-BK,B07RF5XL77
AF-K-F-506M-PARENT,B07PGCVSK8,,AF-K-F-506M-BK,B07FXGDBQP
AF-K-F-506M-PARENT,B07PGCVSK8,,AF-K-F-506M-GY,B07FX2YSXQ
AF-K-F-506M-PARENT,B07PGCVSK8,,AF-K-F-506M-WH,B07FX6JSDT
AF-K-HIC-02N-PARENT,B0788K7CPT,,AF-K-HIC-02N-BK,B0788RDXTD
AF-K-HIC-02N-PARENT,B0788K7CPT,,AF-K-HIC-02N-RD,B077ZNVFJ9
AF-K-HIC-02N-PARENT,B0788K7CPT,,AF-K-HIC-02N-WH,B0788KBV5W
ANNEXE-MAT-3M-PARENT,B07SMFR378,,ANNEXE-MAT-3M-GREY,B07797KK3P
ANNEXE-MAT-3M-PARENT,B07SMFR378,,ANNEXE-MAT-4M-GREEN,B0779919FC
