"combined_sku","department_id"
"TARP-SMALL-PARENT","DEP20170811134628184"
"TARP-LARGE-PARENT","DEP20170811134628184"
"MOWER-PARENT","DEP20170811134628184"
"MM-TRI-WH-PARENT","DEP20170811134628184"
"MM-DOU-EXTEN-PARENT","DEP20170811134628184"
"MAIL-BOX-06-PARENT","DEP20170811134628184"
"RHP-RC-3200-BKX2","DEP20170811134628184"
"RHP-RC-1800-BKX2","DEP20170811134628184"
"BA-BB-DSW-PU-WHX6-VAR","DEP20180822000000110"
"BA-BB-DSW-PU-WHX6","DEP20180822000000110"
"SCOVER-MERBAU-1-SD-VAR","DEP20170811134628184"
"AWN-CAR-20X30-GREY-VAR","DEP20180822000000110"
"BF-70L-BK-VAR1","DEP20170811134628184"
"DESK-2-DRAWER-WH-VAR","DEP20170811134628184"
"AWN-CAR-25X30-GREY-VAR","DEP20180822000000110"
"TRAMPO-C16-MC-ABC-VAR1","DEP20170811134628184"
"DESK-RACK-NEW120-WH-AB-VAR","DEP20170811134628184"
"WBLANKET-CT-5KG-VAR1","DEP20170811134628184"
"HASD-114E-BKDF-WHDB-100","DEP20170811134628184"
"SJ-B-1502-BM-SI-VAR","DEP20170811134628184"
"MATTRESS-0907-Q-VAR","DEP20180822000000110"
"AWN-CAR-20X30-GREY-ETN-VAR","DEP20180822000000110"
"FBA-DIFF-519W-DW","DEP20170811134628184"
"FBA-OCHAIR-BS-5435-WA","DEP20170811134628184"
"FBA-OCHAIR-G-8009-BK","DEP20170811134628184"
"FBA-OCHAIR-G-R22-OR","DEP20170811134628184"
"FBA-DIFF-519W-LW","DEP20170811134628184"
"FBA-MOC-09M-WH","DEP20170811134628184"
"FBA-MOC-09M-BG","DEP20170811134628184"
"FBA-OCHAIR-G-R22-BK","DEP20170811134628184"
"FBA-OCHAIR-G-R22-RD","DEP20170811134628184"
"FBA-MP-BAM-D","DEP20170811134628184"
"FBA-MP-BAM-S","DEP20170811134628184"
"FBA-MP-BAM-KS","DEP20170811134628184"
"FURNI-G-DESK-1116-WD-VAR","DEP20170811134628184"
"GAZEBO-C-3X6-DX-SB-VAR","DEP20170811134628184"
"FBA-MF-RC-40-WH","DEP20180822000000110"
"PET-DH-P403-GN-VAR","DEP20180822000000110"
"FBA-PET-CAT-HSCT076-180-BE","DEP20180822000000110"
"DIFF-519W-LW-VAR2","DEP20170811134628184"
"FBA-DIY-STORAGE-16-WH","DEP20180822000000110"
"FBA-AF-K-HIC-02N-RD","DEP20170811134628184"
"SB-58L-S06-WH-VAR","DEP20170811134628184"
"SB-68L-S06-WH-VAR","DEP20170811134628184"
"HASD-114E-WHDF-WODB-100","DEP20170811134628184"
"XM-TR-SLIM-6F-GR-VAR","DEP20180822000000110"
"MATTRESS-SINGLE-VAR","DEP20180822000000110"
"WINE-RACK-STACK-10BX2-VAR","DEP20170811134628184"
"FOAM-MFM-H025-KS-VAR","DEP20170811134628184"
"RHP-SLIM-2400-BKX2","DEP20180822000000110"
"BV-MC-6006-NT-AB","DEP20170811134628184"
"VAC-CD-AH-RD-AL-VAR","DEP20170811134628184"
"SWAG-EIN-DARKBLUE-VAR","DEP20170811134628184"
"BFRAME-DOUBLE-MATT-22-BK","DEP20180822000000110"
"BFRAME-QUEEN-MATT-22-BK","DEP20180822000000110"
"LA-DESK-SD-LW-VAR","DEP20180822000000110"
"BM-SS-H010-SCA-KIT","DEP20180822000000110"
"BF-95L-BK-VAR","DEP20170811134628184"
"SSG-INSERT-BK-PARENT","DEP20170811134628184"
"GAZEBO-C-T-3X3-DX-SB-VAR1","DEP20170811134628184"
"PWM-S-36-BU-VAR1","DEP20180822000000110"
"DESK-140M-BK-AB","DEP20180822000000110"
"DESK-140M-WH-AB","DEP20180822000000110"
"DESK-140-WH-AB-9003","DEP20180822000000110"
"GAZEBO-C-T-3X6-F-SB-VAR1","DEP20170811134628184"
"MP-BAM-Q-VAR","DEP20180822000000110"
"PFN-C-BAR-80-SK-VAR2","DEP20180822000000110"
"OCHAIR-8147-HIGH-WH-VAR","DEP20180822000000110"
"FBA-WINE-RACK-20B","DEP20170811134628184"
"OCHAIR-9075-BK-VAR","DEP20180822000000110"
"OCHAIR-9082-BK-VAR","DEP20180822000000110"
"PET-DH-P403-GR-VAR","DEP20170811134628184"
"DIFF-202-WH-VAR1","DEP20170811134628184"
"DIFF-N503W-LW-VAR1","DEP20170811134628184"
"MP-PARENT","DEP20170811134628184"
"CCT-4B-4Z-TOUCH-BK-VAR","DEP20180822000000110"
"DIFF-307-LW-VAR2","DEP20170811134628184"
"FWALL-RC-16-WH-VAR","DEP20170811134628184"
"MATTRESS-PILLOW-GELTOPX2","DEP20170811134628184"
"DIFF-307-DW-VAR2","DEP20170811134628184"
"FBA-MOC-09M-AB","DEP20180822000000110"
"RHP-SLIM-1800-BKX2","DEP20180822000000110"
"DIFF-519W-DW-VAR1","DEP20180822000000110"
"FURNI-TV-120-BK-AB","DEP20180822000000110"
"CD-SHELF-ES-AB-VAR","DEP20180822000000110"
"FBA-CAMP-TENT-DOME12-DX","DEP20180822000000110"
"AF-K-E620-BK-VAR","DEP20170811134628184"
"CURTAIN-140-GY-310X2","DEP20180822000000110"
"CCT-4B-6Z-TOUCH-BK-VAR","DEP20180822000000110"
"DIFF-519W-LW-VAR1","DEP20180822000000110"
"MOC-09M-AB-VAR1","DEP20180822000000110"
"BFRAME-BAS-ALL-PARENT","DEP20170811134628184"
"FURNI-G-DRE-TAB02-WH-AB","DEP20180822000000110"
"HASD-204-GYDF-WODB-160","DEP20170811134628184"
"AF-K-E606-BK-VAR","DEP20170811134628184"
"FURNI-G-IND-DT4D-WD-AB","DEP20170811134628184"
"HASD-204-GYDF-BKDB-160","DEP20170811134628184"
