sku,department_id
FURNI-G-VICO-TV-NT-A,DEP201902310751444239204
QUILT-MERINO-500-SK,DEP201902310751052943410
RD-4019-6P-NT,DEP201902310750063533502
CAMP-TENT-DOME4-NA,DEP201902310759589113842
DI-62CC-OG,DEP201902310753504667490
TMILL-TITAN42-AUTO,DEP201902310759448558018
AQ-FP-HW10000L,DEP201709261130013244134
VP-804-L25-WH,DEP201902310751052943410
SHED-GAB-4X6-B,DEP201902310753504667490
BW-BED-Q-43-67597,DEP201902310753504667490
PFN-BENZ-28,DEP201902310759589113842
FWALL-RC-40-METAL,DEP201902310752047117844
BFRAME-E-NEO-D-CHAR-B,DEP201902310754091356863
PFN-F-100L,DEP201902310759589113842
AES-T003,DEP201902310759448558018
TAP-A-82H37-SI,DEP201902310750063533502
DCL-S-68284-RD,DEP201902310753504667490
BA-TW-9090-H65-NTX2,DEP201902310750063533502
SAC-INV-M-25-WH-A,DEP201902310751052943410
AT-CAGE-6623,DEP201902310752195804722
BA-TW-NEW1055-BGX2,DEP201902310750063533502
MATTRESS-LATEX-24-D,DEP201902310751444239204
DIFF-N503W-LW,DEP201902310752047117844
SCOVER-PAD-1-GN,DEP201902310752047117844
DIFF-S3-LW,DEP201902310752047117844
PET-AIR-CA-XL-LG,DEP201902310752195804722
FF-SDBOSS-OTM-GE-C,DEP201709261130013244134
MATTRESS-TOP-7Z-5-BL-Q,DEP201902310752047117844
SP-D-FOLD-200-ABK,DEP201902310752047117844
BS-86520-5-GR,DEP201902310759448558018
MATTRESS-TOP-D-8-60D,DEP201902310752047117844
PET-PB-L-BK,DEP201902310752195804722
WD-85-183X50-BK,DEP201902310753504667490
MP-MF-K,DEP201902310751052943410
PET-BEDCUBE-SUEDE-L-BR,DEP201902310752195804722
QUILT-FM-NAVY-SK,DEP201902310751052943410
PET-GT-RH1800S-180,DEP201902310759589113842
SAC-INV-M-25-WH-B,DEP201902310751052943410
GAZEBO-ALU-3X6-DX-BK,DEP201902310753504667490
QUILT-DFD-95-K,DEP201902310751052943410
TV-MOUN-TAB-008-BK,DEP201902310751444239204
MATTRESS-0908-SINGLE,DEP201902310751444239204
DB-MT-SLE-SR-BK,DEP201902310752047117844
OCHAIR-BS-5435-WA,DEP201902310752047117844
FF-SDBOSS-OTM-BK-C,DEP201709261130013244134
FURNI-G-DRE-TAB02-WH-A,DEP201902310751444239204
FURNI-GEN2SHELF-A,DEP201902310751444239204
WBED-C-018Q-153-B,DEP201902310754091356863
FURNI-GEN2SHELF-B,DEP201902310751444239204
GB-CALU-3PC-XG1018-BZ,DEP201902310752195804722
SCALE-BFAT-MULTI-BK,DEP201902310759589113842
